File Name,Time [MJD],RV [m/s],RV [m/s] (raw),RV [m/s] (correction),RV Err. [m/s],Exp. Time [s],Airmass,Quality,Start Time [MJD],BERV [km/s],Time [eMJD],Instrument,CCF FWHM [km/s],CCF FWHM [km/s] (raw),CCF FWHM [km/s] (correction),CCF FWHM Err. [km/s],CCF Contrast,CCF Contrast (raw),CCF Contrast Err.,BIS [m/s],H-alpha Emission,CaII Emission
Sun_210324.5115.fits,59297.94314351,-87.62500000000001,-99.2060554781832,11.58105547818319,0.003,248.2509989999944,1.757845040991832,0.99153024,59297.94666466435,-4.6722248928614e-06,,,7.022664425127491,6.936949619111847,1.093867272503949,0.0103280375061807,-11880878.531138238,-12027681.845924648,12025.653898909744,-53.449999999218264,0.1721984820960095,0.1049615203814921
Sun_210327.5082.fits,59300.76256814,-86.879,-98.92064982288744,12.041649822887427,0.003,238.0209989999969,1.228570121631782,0.9908041,59300.76615423611,-3.3917391371442e-06,,,7.021573790822956,6.936216621559971,1.0915115568637022,0.0101226388101689,-12173497.856399458,-12323305.07462004,12106.214152271798,-53.13333333255205,0.1721855554472749,0.1025252720288208
Sun_210327.5089.fits,59300.78169583,-87.808,-99.85270740765813,12.044707407658118,0.003,231.62499999999824,1.19471214107926,0.991095,59300.78531857639,-3.5408579742165e-06,,,7.021051576541796,6.935690582465857,1.0914950227804308,0.0101924407153076,-12094333.667496141,-12243184.648125747,12108.757931414104,-52.23333333255167,0.1722189642848579,0.1015632192036305
Sun_210327.5092.fits,59300.79128191,-86.755,-98.80123975431326,12.046239754313266,0.003,230.0990010000099,1.18457384186675,0.9905741,59300.79491232639,-3.616869567496e-06,,,7.018091552546697,6.932695416949093,1.0914867364014806,0.0101090256815396,-12042273.888540665,-12190609.217304014,11964.558537652543,-52.166666665885806,0.1717422646443558,0.1023442647359788
Sun_210327.5095.fits,59300.79584855,-87.711,-99.75796973727059,12.046969737270583,0.003,229.96500100001143,1.181255417034102,0.990883,59300.79948177083,-3.6532686736483e-06,,,7.019664251074136,6.9342881047276546,1.0914827888889338,0.0100983560067297,-12039953.931565033,-12188191.912644211,11947.999859133422,-51.2999999992191,0.172147133728007,0.1002978059960261
Sun_210327.5098.fits,59300.80547177,-87.031,-99.07950802083438,12.048508020834376,0.003,226.9129989999961,1.177375498687353,0.9912314,59300.80912181713,-3.7302005143189e-06,,,7.020171073508749,6.934802476064932,1.0914744702890065,0.0101482141568104,-12054321.40146941,-12202712.147237897,12021.05272884774,-52.649999999218686,0.1720209306528878,0.1016565465091695
Sun_210327.5104.fits,59300.81977468,-88.012,-100.06279435853483,12.050794358534834,0.003,225.99499899999245,1.179332858671122,0.9918639,59300.82343085648,-3.844603219418e-06,,,7.019957669744315,6.934588391213907,1.0914621062791607,0.0100864836210456,-12047004.218741525,-12195310.65029697,11944.163245890284,-51.316666665885855,0.1721244049020815,0.1007751442922277
Sun_210327.5106.fits,59300.82605085,-87.022,-99.073797612057,12.051797612057005,0.003,226.3969999999976,1.183109510132627,0.9907201,59300.82970282408,-3.8946210247306e-06,,,7.020163130660725,6.934797235313752,1.0914566808503785,0.0100821363953506,-12050635.699390443,-12198976.49019831,11941.387055952728,-52.19999999921911,0.1723666781500033,0.1080562146258791
Sun_210327.5108.fits,59300.8327383,-86.778,-98.83086660911219,12.052866609112185,0.003,225.79900099999617,1.189140837025293,0.9909848,59300.83639611111,-3.9476700336685e-06,,,7.022004600428005,6.936662276746568,1.0914508998544947,0.0101228536026598,-12027432.654670995,-12175407.142936414,11962.024557606372,-51.63333333255204,0.1721442133325167,0.104191318094206
Sun_210327.5109.fits,59300.83585912,-87.417,-99.47036547602734,12.05336547602732,0.003,227.0139999999884,1.19266399422725,0.9911145,59300.83950954861,-3.9723135294202e-06,,,7.020098624601614,6.934733269665744,1.0914482020345835,0.0101323575505998,-12065582.820567405,-12214108.037029771,12014.515528550666,-52.44999999921891,0.1723695651270223,0.1004639741888841
